기준일,차량운행,희망건,탑승건,평균대기시간,평균요금,평균승차거리
2018-08-06,557,5373,4184,41.2,2241,8539
2018-08-08,472,4988,3965,64.4,2249,8644
2018-08-09,529,5155,4126,57.2,2260,8759
2018-08-10,512,4985,3904,63.3,2253,8699
2018-08-11,290,2330,1817,42.3,2438,10404
2018-08-12,218,1885,1658,41.9,2442,10394
2018-08-13,543,5232,4208,48.5,2235,8578
2018-08-14,539,5260,4200,51,2203,8288
2018-07-14,266,2246,1684,66.1,2546,11239
2018-07-15,220,1984,1731,47.1,2450,10415
2018-07-17,524,5605,4187,62.5,2239,8515
2018-07-18,499,5062,4099,60.7,2259,8700
2018-07-19,541,5167,4174,58,2239,8556
2018-07-20,522,5202,4085,62.7,2241,8588
2018-07-21,277,2277,1713,59.5,2460,10540
2018-07-22,204,1934,1614,53.5,2471,10633
2018-07-23,515,5061,4027,67.8,2244,8618
2018-07-24,538,5028,3889,68.5,2227,8474
2018-07-25,471,5007,3901,68.6,2264,8848
2018-07-26,507,4858,3761,60.4,2261,8736
2018-07-27,510,5065,3846,63.2,2246,8659
2018-07-30,515,4985,3872,51.6,2222,8437
2018-07-31,516,4817,3743,53.6,2256,8767
2018-08-01,449,4789,3670,61.7,2258,8788
2018-08-02,502,4924,3843,43.2,2218,8509
2018-08-03,509,4949,3790,43.2,2242,8783
2018-08-05,202,1962,1657,45.8,2409,10095
2018-08-07,516,5095,4102,58.9,2238,8557
2018-07-28,274,2197,1664,57.1,2489,10945
2018-07-16,496,5060,4043,67.7,2234,8481
2018-07-29,203,1944,1676,49,2423,10159
2018-08-04,289,2234,1778,35.8,2386,9905
